[2018/10/11] 11:59 username picked up bones itemX: 3260, itemY: 3229
[2018/10/11] 11:59 username picked up bones itemX: 3255, itemY: 3222
[2018/10/11] 12:00 username picked up bronze med helm itemX: 3260, itemY: 3229
[2018/10/11] 12:00 username picked up bones itemX: 3260, itemY: 3229
[2018/10/11] 12:01 username picked up bones itemX: 3262, itemY: 3230
[2018/10/11] 12:02 username picked up bronze chainbody itemX: 3249, itemY: 3233
[2018/10/11] 12:02 username picked up bones itemX: 3249, itemY: 3233
[2018/10/11] 12:02 username picked up bones itemX: 3251, itemY: 3235
[2018/10/11] 12:03 username picked up goblin mail itemX: 3246, itemY: 3234
[2018/10/11] 12:03 username picked up bones itemX: 3246, itemY: 3234
[2018/10/11] 12:04 username picked up bones itemX: 3249, itemY: 3233
[2018/10/11] 12:04 username picked up bones itemX: 3251, itemY: 3228
[2018/10/11] 12:04 username picked up bronze sq shield itemX: 3251, itemY: 3235
[2018/10/11] 12:04 username picked up air rune itemX: 3251, itemY: 3235
[2018/10/11] 12:04 username picked up earth rune itemX: 3251, itemY: 3235
[2018/10/11] 12:04 username picked up bronze arrow itemX: 3251, itemY: 3235
[2018/10/11] 12:04 username picked up bones itemX: 3251, itemY: 3235
[2018/10/11] 12:05 username picked up bones itemX: 3250, itemY: 3234
[2018/10/11] 12:06 username picked up bones itemX: 3251, itemY: 3235
[2018/10/11] 12:07 username picked up tin ore itemX: 3251, itemY: 3234
[2018/10/11] 12:07 username picked up bones itemX: 3251, itemY: 3234
[2018/10/11] 12:08 username picked up bronze full helm itemX: 3245, itemY: 3233
[2018/10/11] 12:08 username picked up bones itemX: 3245, itemY: 3233
[2018/10/11] 12:08 username picked up bronze full helm itemX: 3246, itemY: 3234
[2018/10/11] 12:08 username picked up bones itemX: 3246, itemY: 3234
[2018/10/11] 12:08 username picked up bones itemX: 3246, itemY: 3235
[2018/10/11] 12:09 username picked up bones itemX: 3247, itemY: 3239
